title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Towards robust fact-checking: A multi-agent system with advanced evidence retrieval,"T Trinh, M Nguyen, TS Hy",2025.0,2,"… Zhou, “Chain of thought prompting elicits reasoning in large … fact verification on news claims with a hierarchical step-by-step … Zhou, “Chain-of-thought prompting elicits reasoning in large …",TrwaMP1n4d4J,"T Trinh, M Nguyen, TS Hy - arXiv preprint arXiv:2506.17878, 2025 - arxiv.org",[],https://arxiv.org/abs/2506.17878,unknown,unknown
"MedScaleRE-PF: a prompt-based framework with retrieval-augmented generation, chain-of-thought, and self-verification for scale-specific relation extraction …","Z Chen, J Hao, H Sun, L Zhao, J Li, Q Qian…",2025.0,10,"… The framework combines few-shot in-context learning with retrieval-augmented generation, chain-of-thought prompting, and self-verification strategies to improve contextual …",4Wh_sOxaUHQJ,"Z Chen, J Hao, H Sun, L Zhao, J Li, Q Qian… - Information Processing …, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0306457325002195,unknown,unknown
Benchmarking multi-step legal reasoning and analyzing chain-of-thought effects in large language models,"W Yu, X Lin, L Ni, J Cheng, L Sha",2025.0,7,"… Chain-of-Thought is a widely adopted prompting technique for LLMs that guides models to think step-by-step … such as Chain-of-Thought, Reflection, or Iterative Verification. This …",jQmLKywbLZgJ,"W Yu, X Lin, L Ni, J Cheng, L Sha - arXiv preprint arXiv:2511.07979, 2025 - arxiv.org",[],https://arxiv.org/abs/2511.07979,unknown,unknown
KGER-PP: Knowledge Graph-Enhanced Reasoning for Process Planning based on Large Language Models,"X Feng, P Wen",,0,"… Chain-of-Thought reasoning and interpretability LLMs process the capability to address inference problems through soft deductive reasoning, leveraging the implicit knowledge …",QpF3gk3Ose4J,"X Feng, P Wen - Available at SSRN 6923111 - papers.ssrn.com",[],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6923111,unknown,unknown
DelphiAgent: A trustworthy multi-agent verification framework for automated fact verification,"C Xiong, G Zheng, X Ma, C Li, J Zeng",2025.0,18,Large Language Models (LLMs) have been investigated for many reasoning-intensive tasks including fact verification and exhibited outstanding performance via coupling LLM’s …,WM5O9tMBnKcJ,"C Xiong, G Zheng, X Ma, C Li, J Zeng - … Processing & Management, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0306457325001827,unknown,unknown
Towards Automating Articles Screening Processes Using Chain-of-Thought Large Language Models,"C Arpini, M Cesarini, E Lotano",2026.0,0,… This work presents a novel pipeline using Reasoning-Large Language Models (Chain-of-Thought) to … These findings suggest that reasoning-enhanced pipelines are a promising tool to …,m5JdXslOpzcJ,"C Arpini, M Cesarini, E Lotano - … of the ACM Web Conference 2026, 2026 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3774905.3795601,unknown,unknown
Chain-of-thought prompting obscures hallucination cues in large language models: An empirical evaluation,"J Cheng, T Su, J Yuan, G He, J Liu, X Tao…",2025.0,13,"… Motivated by these insights, we perform a pilot experiment to analyze, at the token level, how reasoning with chain-of-thought (CoT) prompting shapes the distribution of probabilities …",NUsQpXPZyp8J,"J Cheng, T Su, J Yuan, G He, J Liu, X Tao… - arXiv preprint arXiv …, 2025 - aclanthology.org",[],https://aclanthology.org/anthology-files/pdf/findings/2025.findings-emnlp.67.pdf,unknown,unknown
Should I Trust AI? The Effects of Information Source and Process Presentation Strategies on Trust in Large Language Models-Based Fact-Checking,"YX Xing, Z Sha, J Dang",,0,"… More recently, the integration of Chain-of-Thought reasoning has allowed models to perform multi-step reasoning. For instance, DeepSeek-R1 employs a “deep thinking” mode that …",k3AvXFzjibQJ,"YX Xing, Z Sha, J Dang - The Effects of Information Source and Process … - papers.ssrn.com",[],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5928849,unknown,unknown
Reason-to-recommend: Using interaction-of-thought reasoning to enhance llm recommendation,"K Zhao, F Xu, Y Li",2025.0,24,… Cot4rec: Revealing user preferences through chain of thought for recommender systems. … Chain-of-thought prompting empowered generative user modeling for personalized …,nrPQjeDUvBcJ,"K Zhao, F Xu, Y Li - arXiv preprint arXiv:2506.05069, 2025 - arxiv.org",[],https://arxiv.org/abs/2506.05069,unknown,unknown
Leveraging nlp in finance: A synergistic approach using large language models and chain-of-thought reasoning,"Y Deng, X Zhang, D Zhou, D Zhang…",2024.0,3,"… models (LLMs) and chain-of-thought(CoT) reasoning in the context of extracting valuable … language generation capabilities with the logical reasoning of CoT processes, we demonstrate …",xyebDLSMwtsJ,"Y Deng, X Zhang, D Zhou, D Zhang… - Proceedings of the 5th …, 2024 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3716895.3716983,unknown,unknown
